,,,,,MT,,,,,,,,,,,,,,,,,,,,SI
Hero,Portrait,IconType,IconMovement,Weapon,Value,Description,Assist,Special,,A_Passive,,B_Passive,,C_Passive,C,Type,Move,HP,ATK,SPD,DEF,RES,Σ = Stat Sum,Tier,SI
Tiki(A),,,,Lightning Breath+,11,Enables counterattack regardless of range (Slows Special trigger +1),,Bonfire,,Defiant Atk,,,,Spur Res,Red,Dragon,Infantry,40,35,23,35,24,157,A+,A+
Tiki(Y),,,,Flametongue+,15,-,,Growing flame,,Armored Blow,,,,Breath of Life,Red,Dragon,Infantry,41,31,30,32,29,163,S,A+
Alfonse,,,,Folkvangr,16,Grants Atk+5 at start of turn if unit's HP<50%,,Sol,,Death Blow,,,,Spur Atk,Red,Sword,Infantry,43,35,25,32,22,157,B,B
Alm,,,,Falchion,16,"Effective vs Dragons (Atk+50%). Every third turn, Recover 10HP",,Draconic Aura,,Attack,,Windsweep,,,Red,Sword,Infantry,44,33,30,28,22,157,A+,A
Chrom,,,,Falchion,16,"Effective vs Dragons (Atk+50%). Every third turn, Recover 10HP",,Aether,,Defiant Def,,,,Spur Def,Red,Sword,Infantry,47,37,25,31,17,157,A+,A
Corrin(M),,,,Yato,16,Grants Spd+4 during combat if unit initiates attack,,Dragon Fang,,Defense,,Obstruct,,,Red,Sword,Infantry,42,32,32,28,24,158,A,A
Eirika,,,,Sieglinde,16,Grants adjacent allies Atk+3 through next actions at start of each turn,Pivot,,,,,Drag Back,,Hone Spd,Red,Sword,Infantry,42,26,35,26,28,157,S,S
Fir,,,,Killing Edge+,11,Accelerates Special trigger (cooldown count-1),,Glacies,,Speed,,Pass,,,Red,Sword,Infantry,41,25,36,24,31,157,B,B
Hana,,,,Armorslayer+,12,Effective vs Armored (Atk+50%),Rally Attack,,,Life and Death,,Obstruct,,,Red,Sword,Infantry,37,35,36,23,26,157,A,A
Hinata,,,,Ruby Sword+,12,"Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage",,Pavise,,Fury,,Brash Assault,,,Red,Sword,Infantry,47,32,24,36,18,157,C,B
Ike,,,,Ragnell,16,Enables unit to counterattack regardless of distance to attacker,,Aether,,Heavy Blade,,Swordbreaker,,,Red,Sword,Infantry,42,35,31,32,18,158,S+,S+
Karel,,,,Wo Dao+,13,Grants +10 damage when Special triggers,,Reprisal,,Defiant Atk,,Desperation,,,Red,Sword,Infantry,47,30,35,25,20,157,A+,A+
Laslow,,,,Silver Sword+,15,-,,Noontime,,,,Axebreaker,,Hone Spd,Red,Sword,Infantry,44,35,26,30,22,157,B,B
Lloyd,,,,Regal Blade,16,Atk/Spd+2 when combat begins versus an enemy at full health,,,,,,,,,Red,Sword,Infantry,?,?,?,?,?,0,U,U
Lon'qu,,,,Killing Edge+,11,Accelerates Special trigger (cooldown count-1),,Glimmer,,Speed,,Vantage,,,Red,Sword,Infantry,45,29,39,22,22,157,A,A+
Lucina,,,,Falchion,16,"Effective vs Dragons (Atk+50%). Every third turn, Recover 10HP",,Aether,,Defiant Spd,,,,Spur Atk,Red,Sword,Infantry,43,34,36,25,19,157,S+,S
Lyn,,,,Sol Katti,16,If wielder initiates attack at HP <=50% any follow-up occurs immediately,,Galeforce,,Defiant Atk,,,,Spur Spd,Red,Sword,Infantry,37,28,37,26,29,157,A+,A+
Marth,,,,Falchion,16,"Effective vs Dragons (Atk+50%). Every third turn, Recover 10HP",Pivot,,,,,Escape Route,,Spur Spd,Red,Sword,Infantry,41,31,34,29,23,158,S,S
Navarre,,,,Killing Edge+,11,Accelerates Special trigger (cooldown count-1),,Blazing Wind,,,,Desperation,,Threaten Spd,Red,Sword,Infantry,42,31,37,23,24,157,A,A+
Ogma,,,,Brave Sword+,8,Spd-5. Double-Attack when initiating attack,,Noontime,,Defiant Atk,,,,Spur Atk,Red,Sword,Infantry,47,35,34,28,13,157,A,A+
Olivia,,,,Silver Sword+,15,-,Dance,,,,,Knock Back,,Hone Atk,Red,Sword,Infantry,36,28,33,27,26,150,S,S
Roy,,,,Binding Blade,16,Grants Def/Res+2 when this unit is attacked,Shove,,,Triangle Adept,,Seal Def,,,Red,Sword,Infantry,44,30,31,25,28,158,A,A
Ryoma,,,,Raijinto,16,Enables unit to counterattack regardless of distance to attacker,,Astra,,Defiant Atk,,,,Hone Spd,Red,Sword,Infantry,41,34,35,27,21,158,S,S+
Selena,,,,Armorslayer+,12,Effective vs Armored (Atk+50%),Reposition,,,Triangle Adept,,,,Threaten Spd,Red,Sword,Infantry,37,25,35,32,28,157,B,B
Seliph,,,,Tyrfing,16,Grants Def+4 in battle if unit's HP<=50%,Rally Speed,,,HP,,Brash Assault,,,Red,Sword,Infantry,47,34,24,30,22,157,A,B
Caeda,,,,Armorslayer+,12,Effective vs Armored (Atk+50%),Rally Speed,,,Darting Blow,,,,Fortify Fliers,Red,Sword,Flying,36,25,37,24,34,156,B,B
Palla,,,,Ruby Sword+,12,"Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage",,Moonbow,,,,Wings of Mercy,,Goad Fliers,Red,Sword,Flying,42,31,31,28,26,158,B,B
Cain,,,,Brave Sword+,8,Spd-5. Double-Attack when initiating attack,,Escutcheon,,,,Wings of Mercy,,Threaten Atk,Red,Sword,Cavalry,42,32,32,27,21,154,B,A
Eldigan,,,,Mystletainn,16,Accelerates Special trigger (cooldown count-1),,Growing Light,,Fury,,Lunge,,,Red,Sword,Cavalry,45,32,24,34,19,154,A+,S
Eliwood,,,,Durandal,16,Grants Atk+4 during combat if unit initiates attack,,Sacred Cowl,,,,Axebreaker,,Ward Cavalry,Red,Sword,Cavalry,39,31,30,23,32,155,A,A
Stahl,,,,Ruby Sword+,12,"Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage",Swap,,,Defense,,Obstruct,,,Red,Sword,Cavalry,45,31,26,30,22,154,B,B
Xander,,,,Siegfried,16,Enables counteratack regardless of distance if this unit attacked,,Blazing Light,,Armored Blow,,,,Spur Def,Red,Sword,Cavalry,44,32,24,37,17,154,U,U
Draug,,,,Brave Sword+,8,Spd-5. Double-Attack when initiating attack,,Pavis,,,,Lunge,,Ward Armor,Red,Sword,Armored,50,30,32,39,18,169,C,A+
Zephiel,,,,Eckesachs,16,Inflict Def-4 on foes within 2 spaces through next actions each turn,,Reprisal,,Life and Death,,Wary Fighter,,,Red,Sword,Armored,55,32,16,41,24,168,S,A+
Henry,,,,Raudrraven+,11,Grants Weapon Advantage vs. Colorless (Atk+20%),,Ignis,,Defiant Def,,G Tomebreaker,,,Red,Tome,Infantry,45,23,22,32,25,147,B,C
Lilina,,,,Bolganone+,13,-,,Growing Flame,,Attack,,,,Spur Atk,Red,Tome,Infantry,35,37,25,19,31,147,A+,A+
Raigh,,,,Raudrwolf+,10,Effective vs Cavalry (Atk+50%),Rally Attack,,,HP,,Seal Res,,,Red,Tome,Infantry,36,32,29,22,29,148,B,B
Sanaki,,,,Cymbeline,14,Grants adjacent allies Atk+4 through next action after unit initates attack,Harsh Command,,,Triangle Adept,,,,Hone Atk,Red,Tome,Infantry,33,37,26,17,34,147,A+,A+
Sophia,,,,Fenrir+,13,-,,Dragon Fang,,Warding Blow,,,,Fortify Res,Red,Tome,Infantry,40,33,19,28,29,149,C,C
Tharja,,,,Raudrblade+,13,Adds total bonuses on unit to damage dealt. Slows cooldown count +1,,Vengeance,,Darting Blow,,,,Spur Res,Red,Tome,Infantry,39,32,34,23,20,148,S,S
Leo,,,,Brynhildr,14,"If user intiates attack, foe cannot move more than 1 space next turn",,Blazing Light,,,,Quick Riposte,,Savage Blow,Red,Tome,Cavalry,39,29,22,25,30,145,A,B
Anna,,,,Noatun,16,Unit may move adjacent to any ally when HP <= 40%,,Astra,,,,Vantage,,Spur Res,Green,Axe,Infantry,41,29,38,22,28,158,A,A
Arthur,,,,Emerald Axe+,12,"Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage",Swap,,,HP,,Lancebreaker,,,Green,Axe,Infantry,43,32,29,30,24,158,C,B
Barst,,,,Brave Axe+,8,Spd -5. Double-Attack when initiating attack,Reposition,,,,,Knock Back,,Spur Atk,Green,Axe,Infantry,46,33,32,30,17,158,B,A
Bartre,,,,Hammer+,12,Effective vs Armored (Atk+50%),Smite,,,Fury,,Brash Assault,,,Green,Axe,Infantry,49,36,25,33,13,156,B,B
Chrom(SF),,,,Carrot Axe+,13,"When initiates attack, restores 4HP after combat",Shove,,,Attack Def,,,,Axe Experience,Green,Axe,Infantry,43,35,32,28,20,158,A+,A+
Hawkeye,,,,Killer Axe+,11,Accelerates Special trigger (cooldown count-1),,Growing Light,,Death Blow,,,,Threaten Atk,Green,Axe,Infantry,45,33,22,28,30,158,B,B
Raven,,,,Brave Axe+,8,Spd -5. Double-Attack when initiating attack,,Sol,,Defiant Spd,,,,Threaten Def,Green,Axe,Infantry,41,34,35,25,22,157,A,A+
Beruka,,,,Killer Axe+,11,Accelerates Special trigger (cooldown count-1),,Glimmer,,Defiant Def,,Lunge,,,Green,Axe,Flying,46,29,23,37,22,157,C,C
Camilla,,,,Brave Axe+,8,Spd -5. Double-Attack when initiating attack,,Draconic Aura,,Darting Blow,,,,Savage Blow,Green,Axe,Flying,37,30,32,28,31,158,A+,A
Cherche,,,,Hammer+,12,Effective vs Armored (Atk+50%),Pivot,,,Attack,,,,Fortify Def,Green,Axe,Flying,46,38,25,32,16,157,B,A+
Michalis,,,,Hauteclere,16,Accelerates Special trigger (cooldown count-1),,Blazing Thunder,,Iote's Shield,,,,Threaten Def,Green,Axe,Flying,43,34,26,35,19,157,A,A
Minerva,,,,Hauteclere,16,Accelerates Special trigger (cooldown count-1),,Sacred Cowl,,Life and Death,,,,Ward Fliers,Green,Axe,Flying,40,31,33,32,22,158,A+,S
Narcian,,,,Emerald Axe+,12,"Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage",,Vengeance,,,,Lancebreaker,,Savage Blow,Green,Axe,Flying,42,29,29,32,26,158,A,B
